id,adjective
1,able
2,active
3,adventurous
4,affectionate
5,agile
6,alert
7,amazing
8,ambitious
9,amiable
10,amused
11,angelic
12,animated
13,appreciative
14,artistic
15,attentive
16,attractive
17,awesome
18,balanced
19,beautiful
20,blissful
21,bold
22,brave
23,bright
24,brilliant
25,calm
26,caring
27,charming
28,cheerful
29,clever
30,coherent
31,comfortable
32,compassionate
33,confident
34,considerate
35,consistent
36,content
37,cooperative
38,courageous
39,creative
40,credible
41,curious
42,daring
43,dazzling
44,decisive
45,dedicated
46,delightful
47,detailed
48,diligent
49,discreet
50,distinct
51,dramatic
52,dynamic
53,eager
54,easygoing
55,effective
56,efficient
57,elated
58,elegant
59,empathetic
60,energetic
61,engaging
62,enthusiastic
63,ethical
64,excellent
65,excited
66,experienced
67,expert
68,expressive
69,extraordinary
70,fair
71,faithful
72,fantastic
73,fascinating
74,fearless
75,festive
76,flexible
77,focused
78,forgiving
79,fortunate
80,friendly
81,funny
82,generous
83,gentle
84,genuine
85,gifted
86,glad
87,gleaming
88,graceful
89,grateful
90,great
91,gregarious
92,happy
93,hardworking
94,harmless
95,healthy
96,helpful
97,honest
98,hopeful
99,hospitable
100,humanitarian
101,humble
102,humorous
103,idealistic
104,imaginative
105,impartial
106,impressive
107,incredible
108,independent
109,industrious
110,ingenious
111,innovative
112,inquisitive
113,inspiring
114,intelligent
115,intuitive
116,inventive
117,joyful
118,jovial
119,judicious
120,keen
121,kind
122,knowledgeable
123,laudable
124,lighthearted
125,likable
126,lively
127,logical
128,loveable
129,loyal
130,lucky
131,magnetic
132,marvelous
133,mature
134,methodical
135,meticulous
136,modest
137,motivated
138,natural
139,neat
140,noble
141,observant
142,optimistic
143,organized
144,outgoing
145,outstanding
146,passionate
147,patient
148,peaceful
149,perceptive
150,perfect
151,persevering
152,playful
153,pleasant
154,polite
155,positive
156,powerful
157,practical
158,precise
159,proactive
160,productive
161,proficient
162,progressive
163,punctual
164,purposeful
165,quick
166,quiet
167,radiant
168,reasonable
169,refined
170,reliable
171,remarkable
172,resilient
173,resolute
174,respectful
175,responsible
176,resourceful
177,romantic
178,safe
179,sagacious
180,sensible
181,sensitive
182,sincere
183,skillful
184,sociable
185,spirited
186,stable
187,steadfast
188,stimulating
189,strategic
190,strong
191,studious
192,successful
193,supportive
194,sweet
195,systematic
196,talented
197,thoughtful
198,thrifty
199,tidy
200,tolerant
201,trustworthy
202,truthful
203,unbiased
204,unique
205,upbeat
206,versatile
207,vibrant
208,vigilant
209,virtuous
210,visionary
211,vivacious
212,warm
213,welcoming
214,well-informed
215,wise
216,witty
217,zealous
